"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"63KSZNVZ","journalArticle","2001","Rawal, Vikas","Irrigation Statistics in West Bengal","Economic and Political Weekly","","0012-9976","","https://www.jstor.org/stable/4410830","[West Bengal lacks an integrated system of collection of data on irrigation. Collection of data on different types of irrigation systems in the state has been left to different agencies. These agencies are not geared to systematic collection of statistics and the data provided by them are not regular and are often inconsistent. As a result, no reliable statistics exist that could be used to identify patterns of irrigation at the state-level - leave aside doing such exercises at district, block or village levels - with a level of accuracy that is possible for some of the other states. This paper provides an overview of the different sources of data on irrigation in West Bengal and discusses the nature of the data available from each source.]","2001","2019-05-11 09:58:53","2020-05-01 09:05:18","2019-05-11 10:02:04","2537-2544","","27","36","","","","","","","","","","","","","JSTOR","","JSTOR","","","","/home/ankur/bibliobase/phd/irrigation/rawal_2001_irrigation_statistics_in_west_bengal.pdf","","Agriculture; Irrigation; West Bengal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HQ9EJN89","journalArticle","2001","Rawal, Vikas","Expansion of Irrigation in West Bengal: Mid-1970s to Mid-1990s","Economic and Political Weekly","","0012-9976","","https://www.jstor.org/stable/4411264","[This paper, the second in a series of two, attempts to identify the basic structure of irrigation in West Bengal and the extent of growth of irrigation in the post-land reform period. The first paper presented a detailed evaluation of the secondary data available on irrigation in West Bengal. This paper uses these data to identify certain features of irrigation development in the state. After presenting an overview of the pattern of irrigation in the state, the author analyses the growth of irrigation from groundwater and canals and the changes in irrigation from ponds and river lift-irrigation schemes. Finally, inter-district variations in the growth of irrigated area are discussed. [The first article in the series, 'Irrigation Statistics in West Bengal', appeared in the issue of July 7, 2001.]]","2001","2019-05-11 09:58:53","2020-05-01 09:05:29","2019-05-11 10:01:49","4017-4024","","42","36","","","Expansion of Irrigation in West Bengal","","","","","","","","","","JSTOR","","JSTOR","","","","/home/ankur/bibliobase/phd/irrigation/rawal_2001_expansion_of_irrigation_in_west_bengal.pdf","","Agriculture; Irrigation; West Bengal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J8AZY42G","webpage","2020","Sirohi, Nishant Singh","The human right to water in a pandemic","Observer Research Foundation","","","","https://www.orfonline.org/expert-speak/the-human-right-to-water-in-a-pandemic-65672/","","2020-05-05","2020-05-07 20:16:03","2020-06-11 11:21:33","2020-05-07 20:16:03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AP4H4Z68","newspaperArticle","2020","Bhosle, Jayashree","Mumbai wholesale market opens on Wednesday","The Economic Times","","","","https://economictimes.indiatimes.com/news/politics-and-nation/mumbai-wholesale-mkt-opens-on-wed/articleshow/75111869.cms","Mumbais main wholesale market for vegetables, fruits and spices will reopen on April 15 with adequate precautions and steps taken to address traders grievances.","2020-04-13","2020-05-09 19:12:52","2020-06-11 18:50:56","2020-05-09 19:12:52","","","","","","","","","","","","","","en","","","","","economictimes.indiatimes.com","","","","/home/ankur/Zotero/storage/NAE3AHKY/75111869.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CL2UWWBC","newspaperArticle","2020","Chaba, Anju Agnihotri; Jagga, Raakhi","Wheat procurement operation gets off to a slow start, mandis wear a deserted look","The Indian Express","","","","https://indianexpress.com/article/cities/chandigarh/wheat-procurement-operation-gets-off-to-a-slow-start-mandis-wear-a-deserted-look-6364331/","Against arrival of 18,309 MT of wheat on first day of procurement last year, only 4,855 MT wheat made it to the mandis across the state on Day 1 this year.","2020-04-16","2020-05-09 19:33:55","2020-06-11 18:51:23","2020-05-09 19:33:55","","","","","","","","","","","","","","en-US","","","","","indianexpress.com","","","","/home/ankur/Zotero/storage/WTJCVUK4/wheat-procurement-operation-gets-off-to-a-slow-start-mandis-wear-a-deserted-look-6364331.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LDUCHLDS","newspaperArticle","2020","Economic Times","Punjab ropes in 409 rice mills to boost wheat procurement","The Economic Times","","","","https://economictimes.indiatimes.com/news/economy/agriculture/punjab-ropes-in-409-rice-mills-to-boost-wheat-procurement/articleshow/75256091.cms","Disclosing this here today, the Additional Chief Secretary Development Viswajeet Khanna said that with the addition of these shellers as Sub Mandi Yards, the No. of existing purchase centres in the state had gone up to 4100 to ensure smooth and seamless procurement in view of coronavirus.","2020-04-20","2020-05-09 19:34:07","2020-06-11 19:08:18","2020-05-09 19:34:07","","","","","","","","","","","","","","en","","","","","economictimes.indiatimes.com","","","","/home/ankur/Zotero/storage/RTV4VLSV/75256091.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7RTICRM4","newspaperArticle","2020","Chaba, Anju Agnihotri","Explained: How Punjab met procurement challenge","The Indian Express","","","","https://indianexpress.com/article/explained/punjab-wheat-procurement-social-distancing-farmers-coronavirus-india-lockdown-6397418/","Punjab has had a bumper crop, and needs a labour force of 3.5 lakh to 4 lakh to meet the procurement target of 13.5 million tonnes. But 90% of its usual labour force comes from Bihar and Uttar Pradesh.","2020-05-07","2020-05-09 19:34:23","2020-06-11 18:51:12","2020-05-09 19:34:23","","","","","","","Explained","","","","","","","en-US","","","","","indianexpress.com","","","","/home/ankur/Zotero/storage/GP2V64LP/punjab-wheat-procurement-social-distancing-farmers-coronavirus-india-lockdown-6397418.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VNKFLVSK","newspaperArticle","2020","Khanna, Rajeev","Punjab procures wheat in the shadow of COVID-19","Down to Earth","","","","https://www.downtoearth.org.in/news/agriculture/punjab-procures-wheat-in-the-shadow-of-covid-19-70592","Farmers face problems despite government efforts","2020-04-21","2020-05-09 19:34:36","2020-06-11 18:51:40","2020-05-09 19:34:36","","","","","","","","","","","","","","en","","","","","www.downtoearth.org.in","","","","/home/ankur/Zotero/storage/8EBKGU6F/punjab-procures-wheat-in-the-shadow-of-covid-19-70592.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E2DSE2KN","newspaperArticle","2020","Khera, Reetika","Why cash can save the rural jobs scheme","Livemint","","","","https://www.livemint.com/news/india/why-cash-can-save-the-rural-jobs-scheme-11590421706597.html","India is set to spend over  ₹1 tn on the world’s largest rural employment programme. Can it be made to work better?.Large work sites should be opened proactively in each panchayat without waiting for applications. Anyone who shows up should be allowed to work and payments should be in cash","2020-05-25","2020-05-30 20:09:53","2020-06-11 18:51:45","2020-05-30 20:09:53","","","","","","","","","","","","","","en","","","","","","","","","/home/ankur/Zotero/storage/7AWF3KI9/2020 - Why cash can save the rural jobs scheme.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7BDNU6G4","journalArticle","2019","Rawal, Vikas; Bansal, Vaishali; Bansal, Prachi","Prevalence of Undernourishment in Indian States","Economic and Political Weekly","","","","","Prevalence of undernourishment, a measure developed by the Food and Agriculture Organization, is a key indicator for global hunger and food insecurity targets. The FAO has developed a sound conceptual model for estimating the prevalence of dietary energy deficiency. However, the estimation methodology of the prevalence of undernourishment has been a subject of much debate. Important modifications are suggested in the estimation of the distribution of average calorie intake and average minimum dietary energy requirements. Using the latest available data and the revised methodology, it is shown that about 472 million people in India, a staggering 39% of the population, were undernourished in 2011–12.","2019","2020-06-11 10:44:14","2020-06-11 11:03:04","","","","15","54","","EPW","","","","","","","","","","","","","","","Publisher: Economic and Political Weekly Type: Journal","","/home/ankur/bibliobase/health/malnutrition/rawal_et_2019_prevalence_of_undernourishment_in_indian_states.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
